Busbar,"Customer Name","Power Factor at NG Peak","Local Peak Demand","Demand at NG Peak","Embedded Generation at NG Peak","DCLF Node"
IROA11,"Central Networks West (Aquila)",0.96,100.7,100.7,0,IROA20_AQUIL
IRSH40,"Central Networks West (Aquila)",0.94,340.2,340.2,0,IRSH40
KITW10,"Central Networks West (Aquila)",0.96,438.8,438.8,0,KITW20
LEAM10,"Central Networks West (Aquila)",0.94,285.7,285.7,0,HAMH40_AQUL
NECH10,"Central Networks West (Aquila)",0.89,416.4,385.6,25.2,NECH20
OCKH10,"Central Networks West (Aquila)",0.96,126.5,110.2,0,OCKH20
OLDB10,"Central Networks West (Aquila)",0.97,100.5,100.7,0,OLDB20
PENN10,"Central Networks West (Aquila)",0.94,319.2,319.2,0,PENN20
RUGE10,"Central Networks West (Aquila)",0.96,252.5,252.5,0,RUGE40
WIEN10,"Central Networks West (Aquila)",0.94,212.8,198.2,0,"WIEN2A /WIEN2B"
GREN10,"Corby Power Ltd",1,0,0,0,GREN40_EME
ALDW31,CORUS,0.75,36,36,0,ALDW20
ALDW32,CORUS,0.82,160,88,0,ALDW20
GRTO60,CORUS,0.8,8,8,0,"GRTO2A /GRTO2B"
RAVE30,CORUS,0.8,5,3,0,"RAVE2Q /RAVE2R"
STSB60,CORUS,0.92,70,0,0,STSB40
TEMP30,CORUS,0.75,12,7,0,TEMP20
TINP32,CORUS,0.7,59,49,0,"TINP2A /TINP2B"
TODP60,CORUS,0.8,10,1,88,TODP20
WHSO31,CORUS,0.91,48.2,28.6,0,WHSO20
WHSO32,CORUS,0.91,48.2,28.6,0,WHSO20
WILL10,Derwent,1,0,0,0,"Station Load"
DRAX11,"Drax Power Limited",0.9,17,17,0,"Station Load"
DRAX12,"Drax Power Limited",0.9,75,75,0,"Station Load"
COTT40,"E.ON (UK) plc (Powergen)",0.34,40,8,0,"Station Load"
DEES4,"E.ON (UK) plc (Powergen)",1,25,0,0,
GRAI40,"E.ON (UK) plc (Powergen)",0.83,31,6,18,"Station Load"
IRON10,"E.ON (UK) plc (Powergen)",0.77,50,6,0,"Station Load"
KINO10,"E.ON (UK) plc (Powergen)",0.8,40,10,0,"Station Load"
RATS10,"E.ON (UK) plc (Powergen)",0.77,43,13,0,"Station Load"
AMEM10,"Eastern Power Networks",0.96,69.9,59.1,0,"AMEM4A_EPN / AMEM4B_EPN"
BARK10,"Eastern Power Networks",0.97,91.1,91.1,0,BARK20_EPN
BARW30,"Eastern Power Networks",0.94,80.7,78.1,0,BARK20_EPN
BRFO10,"Eastern Power Networks",0.96,799.6,799.5,265,BRFO40
BRIM10,"Eastern Power Networks",0.95,274.9,270.2,0,"BRIM2A_EPN / BRIM2B_EPN / BRIM2C_EPN"
BRRA10,"Eastern Power Networks",0.95,802.1,802.1,0,"RAYL40 / BRAI4A"
BURW10,"Eastern Power Networks",0.96,332.2,332.1,0,BURW40
EASO10,"Eastern Power Networks",0.96,173,173,7.5,EASO40
ELRH10,"Eastern Power Networks",0.96,530,530,0,"ELST20 / RYEH40 / RYEH4A"
ELST10,"Eastern Power Networks",0.96,104.8,94.5,0,ELST20
ELWS10,"Eastern Power Networks",0.96,337.4,335.2,0,"ELST20 / WATS20"
GREN10,"Eastern Power Networks",0.96,146.1,146.1,5.7,GREN40_EME
MILH10,"Eastern Power Networks",0.96,244.8,244.8,0,"MILH2A_EPN / MILH2B_EPN"
NORW10,"Eastern Power Networks",0.96,686.5,651.1,29,NORW40
PEWY10,"Eastern Power Networks",0.96,534.6,534.5,0,"WYMO40 / PELH40"
SUND10,"Eastern Power Networks",0.96,501.6,501.6,19.8,SUND40
TILB11,"Eastern Power Networks",0.96,51.2,48.3,5,TILB20
TILB12,"Eastern Power Networks",0.96,67,66.9,4,TILB20
TILB13,"Eastern Power Networks",0.96,67,66.9,4,TILB20
TILB14,"Eastern Power Networks",0.96,51.2,48.3,5,TILB20
TOTT10,"Eastern Power Networks",0.96,323.9,317.4,28.9,"TOTE20 / TOTW20"
WALP10,"Eastern Power Networks",0.96,626.4,596,82.5,WALP40_EME
WARL10,"Eastern Power Networks",0.96,262.8,259.9,12,WARL20
WATS12,"Eastern Power Networks",0.96,221.4,221,0,WATS20
WISD10,"Eastern Power Networks",0.96,51.6,51.6,0,WISD20_EME
WTHU60,"Eastern Power Networks",0.96,41.6,41,0,"WTHU2A / WTHU2B"
BARK10,"EDF (Formerly LPN)",0.97,150.4,150.4,0,BARK20_LPN
BARW30,"EDF (Formerly LPN)",0.94,177.4,183.9,0,BARK20_EPN
BEDD10,"EDF (Formerly LPN)",0.96,155.5,143.1,0,BEDD20_SPN
BRIM10,"EDF (Formerly LPN)",0.95,146.9,146.9,0,"BRIM2A_LPN / BRIM2B_LPN / BRIM2C_LPN"
CITR10,"EDF (Formerly LPN)",0.96,999.3,899.9,7.2,CITR42
HACK10,"EDF (Formerly LPN)",0.96,187,187,0,HACK2A/HACK2B
HACK60,"EDF (Formerly LPN)",0.97,171.9,166.8,0,"HACK2A /HACK2B"
HURS10,"EDF (Formerly LPN)",0.96,333,327.5,0,HURS20
LITT10,"EDF (Formerly LPN)",0.96,177.9,177.9,4.3,LITT40
LODR60,"EDF (Formerly LPN)",0.96,427,421.1,0,SJOW20
MILH10,"EDF (Formerly LPN)",0.92,24.2,24.2,0,"MILH2A_EPN / MILH2B_EPN"
NEWX10,"EDF (Formerly LPN)",0.96,207.7,206.6,0,NEWX20
NEWX60,"EDF (Formerly LPN)",0.96,287.6,287.6,0,NEWX20
REBR30,"EDF (Formerly LPN)",0.98,112.7,112.7,0,REBR20
SJOW10,"EDF (Formerly LPN)",0.96,773.2,737,4,SJOW40
WHAM10,"EDF (Formerly LPN)",0.96,459.8,447.5,4,WHAM40
WIGP10,"EDF (Formerly LPN)",0.96,635.1,628.9,0,WIMB20
WIMB14,"EDF (Formerly LPN)",0.96,155.7,152.7,0,WIMB21
WISD10,"EDF (Formerly LPN)",0.96,215.4,209.6,0,WISD20_LPN
WISD60,"EDF (Formerly LPN)",0.96,139.8,139.8,0,WISD20_LPN
WBUR10,"EdF Energy",0.87,60,9,0,"Station Load"
SFEM50,"Exxon Mobil",1,21.4,21.4,0,SFEM10
SEFI10,"Fellside Heat and Power",1,43,43,0,"Station Load"
DINO40,"First Hydro",1,1650,0,0,"Station Load"
FFES21,"First Hydro",1,150,0,0,"Station Load"
FFES22,"First Hydro",1,150,0,0,"Station Load"
BAGB20,"GE Energy",0.95,27,27,530,"Station Load"
HUMR40,"Immingham CHP",1,0,0,0,
GRMO30,"Ineos (Innovene) Grangemouth",0.98,74.8,74.8,0,GRMO20
RUGE10,"International Power",0.8,30,4,0,RUGE40
CULJ31,"J E T",0.95,0.1,0.1,0,CULJ4A
CULJ32,"J E T",0.95,0.1,0.1,0,CULJ4A
CULJ33,"J E T",0.95,0.1,0.1,0,CULJ4A
HARE30,MOD,0.8,14,15,0,"WHTL1Q/ WHTL1R"
GRAI40,"National Grid",0.88,88,88,0,GRAI40
SFEG10,"National Grid",0.97,50,50,0,SFEG10
BARK10,"Network Rail",0.85,0,0,0,
BARK40,"Network Rail",1,6,6,0,
BERW10,"Network Rail",1,3,2,0,"BERW1Q / BERW1R"
CATY1A,"Network Rail",1,2,1.5,0,"CATY1Q / CATY1R"
CATY1B,"Network Rail",1,2,1.5,0,"CATY1Q / CATY1R"
DEVM10,"Network Rail",1,2,1,0,DEVM10
ECCF1A,"Network Rail",1,2,2,0,
ECCF1B,"Network Rail",1,2,2,0,
ELST4A,"Network Rail",1,13,13,0,ELST20
ELST4B,"Network Rail",1,13,13,0,ELST20
ELVA20,"Network Rail",1,4,1,0,
HARK40,"Network Rail",1,4,1,0,HARK20
INWI1A,"Network Rail",1,3,3,0,
INWI1B,"Network Rail",1,3,3,0,
LEIB4A,"Network Rail",1,3.5,3,0,LEIB4B
LEIB4B,"Network Rail",1,3.5,3,0,LEIB4B
PAFB4A,"Network Rail",1,7.5,6,0,PAFB4B
PAFB4B,"Network Rail",1,7.5,6,0,PAFB4B
POOB2A,"Network Rail",1,2.5,1.5,0,"POOB2Q / POOB2R"
POOB2B,"Network Rail",1,2.5,1.5,0,"POOB2Q / POOB2R"
POPP20,"Network Rail",1,4,0,0,POPP20
RUGE40,"Network Rail",1,10,9,0,RUGE40
SACO1A,"Network Rail",1,2,2,0,"SACO1Q / SACO1R"
SACO1B,"Network Rail",1,2,2,0,"SACO1Q / SACO1R"
SANX1A,"Network Rail",1,3.5,3.5,0,"SANX1Q / SANX1R"
SANX1B,"Network Rail",1,3.5,3.5,0,"SANX1Q / SANX1R"
SELL30,"Network Rail",0.99,37,37,0,SELL40
SING40,"Network Rail",0.99,37,21,0,SING40
STLE10,"Network Rail",1,5,4,0,STLE10
WISH20,"Network Rail",1,6,6,0,WISH20
WYMO40,"Network Rail",1,14,11,0,WYMO40
ALCA1A,"Northern Electric",0.9,119,-7,0,BLYT20
ALCA1B,"Northern Electric",0.9,119,-7,0,BLYT20
BLYT60,"Northern Electric",0.99,194,194,6,BLYT20
FERR11,"Northern Electric",0.97,0,0,0,FERR20_NED
FERR12,"Northern Electric",0.97,0,0,0,FERR20_NED
FOUR70,"Northern Electric",1,17,14,0,FOUR20
HARM60,"Northern Electric",0.98,103,100,3,HARM20
HAWP60,"Northern Electric",0.98,119,119,3,HAWP20
KNAR10,"Northern Electric",0.97,188,185,0,KNAR20
LACK60,"Northern Electric",0.99,247,218,0,LACK20
NORT11,"Northern Electric",0.96,263.6,257.7,12,NORT20
NORT12,"Northern Electric",0.96,263.6,257.7,12,NORT20
OFFE30,"Northern Electric",0.96,71,70,0,OFFE20
OSBA10,"Northern Electric",0.98,278,272,2,OSBA40
POPP30,"Northern Electric",0.98,52,51,0,POPP20
SALH10,"Northern Electric",0.9,135,-52,117,SALH20
SPEN10,"Northern Electric",0.96,269,269,7,SPEN20
SSHI30,"Northern Electric",0.97,52,49,0,SSHI20
STEN11,"Northern Electric",0.97,115.9,114.7,2,STEW20
STEN12,"Northern Electric",0.97,115.9,114.7,2,STEW20
STES10,"Northern Electric",0.97,268,265,7,STEW20
TYNE10,"Northern Electric",0.99,231,229,1,TYNE20
WBOL60,"Northern Electric",1,284,284,0,WBOL20
BRED10,"NORWEB (UU)",0.95,344.9,344.9,0,BRED20
CARR10,"NORWEB (UU)",0.95,266.3,266.3,20,CARR20
HARK11,"NORWEB (UU)",0.93,19.2,19.2,224,HARK20
HARK12,"NORWEB (UU)",0.92,59.5,59.5,134,HARK20
HEYS10,"NORWEB (UU)",0.72,-197.1,-197.1,316,HEYS40
HUTT10,"NORWEB (UU)",0.96,235.5,235.5,34,HUTT40
KEAR11,"NORWEB (UU)",0.96,336.8,336.8,0,KEAR20
KEAR12,"NORWEB (UU)",0.95,253.9,253.9,0,KEAR20
KEAR30,"NORWEB (UU)",0.97,124.9,124.9,8,KEAR20
MACC30,"NORWEB (UU)",0.95,83.2,83.2,9,MACC20
PADI10,"NORWEB (UU)",0.94,219.1,219.1,0,PADI40
PENE11,"NORWEB (UU)",0.96,170.8,170.8,0,PEWO40
PENE12,"NORWEB (UU)",0.96,98.6,98.6,0,PEWO40
PENW11,"NORWEB (UU)",0.96,98.5,98.5,6,PEWO20
PENW12,"NORWEB (UU)",0.97,88.8,88.8,0,PEWO20
RAIN10,"NORWEB (UU)",0.96,91.6,91.6,0,RAIN20
ROCH11,"NORWEB (UU)",0.96,245.5,245.5,9,ROCH20
ROCH12,"NORWEB (UU)",0.72,-34.4,-34.4,60,ROCH20
SMAN10,"NORWEB (UU)",0.96,337.8,337.8,19,SMAN20
STAH10,"NORWEB (UU)",0.93,343.3,253.3,12,"STAH4A / STAH4B"
STAL10,"NORWEB (UU)",0.94,423.7,423.7,0,STAL20
WASF1A,"NORWEB (UU)",0.94,176.5,176.5,4,WASF2A
WASF1B,"NORWEB (UU)",0.95,100.5,100.5,4,WASF2B
WHGA10,"NORWEB (UU)",0.97,311.4,311.4,4,WHGA20
CHAP10,"Nuclear Decommisssioning Authority",0.89,0,0,0,CHAP10
DUNG20,"Nuclear Decommisssioning Authority",0.89,4,4,0,"Station Load"
HINP20,"Nuclear Decommisssioning Authority",0.89,2,2,0,"Station Load"
OLDS11,"Nuclear Decommisssioning Authority",0.85,5,5,0,"Station Load"
SIZE10,"Nuclear Decommisssioning Authority",0.89,4,4,0,SIZE40
TRAW20,"Nuclear Decommisssioning Authority",0.89,1,1,0,TRAW20
WYLF10,"Nuclear Decommisssioning Authority",0.9,99,75,0,"Station Load"
ABTH11,"RWE Npower plc (Innogy)",0.82,44,39.5,0,ABTH20
ABTH12,"RWE Npower plc (Innogy)",0.82,44,39.5,0,ABTH20
BLYT60,"RWE Npower plc (Innogy)",0.85,0,0,0,BLYT20
DRAY10,"RWE Npower plc (Innogy)",0.85,50,15,0,
FAWL40,"RWE Npower plc (Innogy)",0.65,20,3,0,FAWL40
LITT10,"RWE Npower plc (Innogy)",0.88,23,4,0,LITT40
TILB11,"RWE Npower plc (Innogy)",0.85,22,4,0,TILB20
SAES20,Saltend,0.96,100,100,0,SAES20
BEDD10,"SEEBOARD Power Networks",0.96,582.6,580.4,0,
BOLN11,"SEEBOARD Power Networks",0.96,486.3,486.3,0,BOLN40
BOLN12,"SEEBOARD Power Networks",0.96,486.3,486.3,0,BOLN40
CHSI10,"SEEBOARD Power Networks",0.96,221.2,220.3,0,CHSI20
CHSI1A,"SEEBOARD Power Networks",0.96,78.9,78,0,CHSI20
CHSI1B,"SEEBOARD Power Networks",0.96,78.9,78,0,CHSI20
CSEK40,"SEEBOARD Power Networks",0.96,879.9,872.1,123,SEK40
KEMS13,"SEEBOARD Power Networks",0.96,72.4,0,0,EMS40
KINO10,"SEEBOARD Power Networks",0.96,238,239.1,0,KINO40
LALE10,"SEEBOARD Power Networks",0.96,79.3,79,0,LALE20_SPN
LITT10,"SEEBOARD Power Networks",0.96,6,6,0,LITT40
NFLE10,"SEEBOARD Power Networks",0.96,447.3,443.3,43.7,NFLE40
NINF10,"SEEBOARD Power Networks",0.96,469.7,469.7,0,NINF40
WWEY10,"SEEBOARD Power Networks",0.96,413.8,413.4,0,WWEY20
GRST60,"Sembcorp (Formerly ICI)",0.86,209,50,120,"Station Load"
MOSM50,SHELL,1,23.5,23.5,0,MOSM10
ABNE30,SHEPD,0.98,49.5,48.9,3,ABNE10
ALNE30,SHEPD,0.99,24.6,17.7,0,"ALNE1Q / ALNE1R"
ARBR30,SHEPD,0.98,39.6,39.4,0,"ARBR1Q / ARBR1R"
ARMO30,SHEPD,0.95,30,24.9,1,ARMO10
BEAU30,SHEPD,0.98,45.7,38.9,3,BEAU10
BOAG30,SHEPD,0.98,36.1,22.8,2,"BOAG1Q / BOAG1R"
BRAC30,SHEPD,0.98,45.4,43.7,2,"BRAC1Q / BRAC1R"
BRID30,SHEPD,0.98,41.5,41,0,"BRID1Q / BRID1R"
BROA30,SHEPD,0.98,11.7,9.7,1,BROA1Q
BROR30,SHEPD,0.99,12.2,9.4,0,BROR10
BUMU30,SHEPD,0.98,58.1,52.1,1,BUMU10
CAAD30,SHEPD,1,27.5,18.2,1,"CAAD1Q / CAAD1R"
CASS50,SHEPD,0.99,2.3,1.6,0,CASS1Q
CEAN50,SHEPD,0.95,4.7,2.1,0,CEAN1Q
CHAR30,SHEPD,0.98,31.6,31.4,0,CHAR10
CLAC30,SHEPD,0.94,-4.7,-4.2,8,CLAC1Q
CLAY30,SHEPD,0.97,63.3,58.6,0,"CLAY1Q / CLAY1R"
COUA30,SHEPD,0.97,30,25.7,0,COUA10
CRAI30,SHEPD,0.99,32.2,31.6,0,CRAI10
DOUN50,SHEPD,0.99,8.2,6.3,0,DOUN10
DUBE30,SHEPD,1,15,12.8,0,DUBE1Q
DUDH30,SHEPD,0.97,37,34.4,0,"DUDH1Q / DUDH1R"
DUGR30,SHEPD,0.98,8.8,7,2,DUGR1Q
DUNO30,SHEPD,0.97,19.3,15.3,5,"DUNO1Q / DUNO1R"
DYCE30,SHEPD,0.96,50.6,42.4,4,"DYCE1Q / DYCE1R"
ELGI30,SHEPD,0.97,57.9,57.6,0,"ELGI1Q / ELGI1R"
FASN30,SHEPD,0.97,-0.2,0.9,1,FASN10
FAUG30,SHEPD,0.96,1.5,0.8,1,FAUG10
FIDD30,SHEPD,0.98,24.5,24.5,0,FIDD1Q
FRAS30,SHEPD,0.95,24.2,21.6,0,"FRAS1Q / FRAS1R"
FWIL30,SHEPD,0.98,69,41,5,"FWIL1Q / FWIL1R"
GLAG30,SHEPD,0.98,31.7,24.5,2,"GLAG1Q / GLAG1R"
GRUB30,SHEPD,0.92,3.8,3.9,4,"GRUB1Q / GRUB1R"
INNE30,SHEPD,0.97,80.3,81.4,4,"INNE1Q / INNE1R"
KEIT30,SHEPD,1,0,0,0,KEIT10
KEMD30,SHEPD,0.98,90.9,84.9,0,
KIIN30,SHEPD,0.94,-2.4,-3.7,0,KIIN10
KILO30,SHEPD,0.98,3.3,2.8,0,KILO10
KINT30,SHEPD,0.98,80.7,80.7,0,KINT10
LAIR50,SHEPD,0.53,0.7,0.3,2,LAIR1Q
LUNA30,SHEPD,0.99,72.7,68.9,1,"LUNA1Q / LUNA1R"
LYND30,SHEPD,0.99,32.2,32,0,"LYND1Q / LYND1R"
MACD30,SHEPD,1,0,0,0,MACD1Q
MILC30,SHEPD,0.99,67,66.4,7,MILC10
MYBS30,SHEPD,0.95,9.7,8.1,0,"MYBS1Q / MYBS1R"
NAIR30,SHEPD,0.96,41.8,36.1,0,NAIR10
PEHG30,SHEPD,0.97,29.3,23.4,0,"PEHG1Q / PEHG1R"
PEHS50,SHEPD,0.99,10.3,7.1,0,PEHE10
PERS30,SHEPD,0.98,51.2,49.9,3,PERS10
PORA30,SHEPD,0.98,16,11.4,5,"PORA1Q / PORA1R"
RANN30,SHEPD,0.97,-1,1.2,3,"RANN1Q / RANN1R"
REDM30,SHEPD,0.97,52.8,52,0,"REDM1Q / REDM1R"
SFEG50,SHEPD,0.97,16.1,14.8,0,"SFEG1Q / SFEG1R"
SFIL30,SHEPD,0.95,-4,1.3,5,SFIL1Q
SHIN50,SHEPD,0.74,1.2,0.3,0,SHIN10
SLOY11,SHEPD,0.99,3.4,2.7,0,SLOY10
STLE30,SHEPD,0.88,14.1,9.1,2,STLE10
STRI30,SHEPD,0.98,19.2,16.6,0,"STRI1Q / STRI1R"
TARL30,SHEPD,0.97,18.8,13.3,0,"TARL1Q / TARL1R"
TAYN30,SHEPD,0.97,30.5,23.2,11,"TAYN1Q / TAYN1R"
THSO30,SHEPD,1,42.4,39.3,12,"THSO1Q / THSO1R"
TUMB30,SHEPD,0.98,16.5,14.4,1,"TUMB1Q / TUMB1R"
WIOW30,SHEPD,0.98,48.1,46.6,0,"WIOW1Q / WIOW1R"
WOHI30,SHEPD,0.98,45.3,45.3,0,"WOHI1Q / WOHI1R"
AMEM10,"Southern Electric",0.98,62.8,62.8,0,"AMEM4A_SEP / AMEM4B_SEP"
AXMI10,"Southern Electric",0.96,121.1,121.1,3,AXMI40_SEP
BOTW10,"Southern Electric",0.97,182.1,188.9,2,BOTW40
BRFL40,"Southern Electric",0.94,1376,1376,76,BRFL40
BRLE13,"Southern Electric",0.93,105.2,105.2,3,BRLE40
BRLE14,"Southern Electric",0.93,105.2,105.2,3,BRLE40
CHIC10,"Southern Electric",0.95,105,104.9,47,CHIC40
COWL10,"Southern Electric",0.96,757.5,757.5,4,COWL40
EALI60,"Southern Electric",0.92,247,247,2,EALI20
FAWL10,"Southern Electric",0.89,333.2,333.2,125,FAWL40
IVER10,"Southern Electric",0.97,480.6,478.8,20,IVER20
IVER60,"Southern Electric",0.86,136.1,136.1,4,IVER20
LALE10,"Southern Electric",0.9,224,224,16,LALE20_SEP
LOVE10,"Southern Electric",0.96,675.5,675.5,17.6,LOVE40
MANN10,"Southern Electric",0.98,732.9,732.9,7,MANN40
MELK10,"Southern Electric",0.95,396.9,414.2,11,MELK40_SEP
MITY10,"Southern Electric",0.97,355.2,355.2,3.9,MITY40
NHYD60,"Southern Electric",0.95,215.4,215.4,0,"NHYD2A / NHYD2B"
NURS10,"Southern Electric",0.97,435.4,435.4,5,NURS40
TYNE50,"Southern Electric",0.95,5.9,5.9,0,TYNE20
WISD60,"Southern Electric",0.94,135,135,0,WISD20_EPN
AYR20,"SP Distribution",0.97,66.2,63.5,0,"AYRR2Q / AYRR2R"
BRAE1,"SP Distribution",0.96,40.3,37.2,0,BRAP10
GRMO3,"SP Distribution",0.98,41.1,34.5,4,GRMO20
HAGR3,"SP Distribution",0.97,54.7,45.3,0,"HAGR1Q / HAGR1R"
PAIS3,"SP Distribution",0.98,43.2,31.7,0,"PAIS1S / PAIS1T"
BAGA10,"SP Distribution",0.98,66.7,64.2,0,"BAGA1Q / BAGA1R"
BAIN10,"SP Distribution",0.97,41.4,39.5,0,BAIN10
BERW10,"SP Distribution",0.81,34.9,23.4,0,"BERW1Q / BERW1R"
BONN20,"SP Distribution",0.94,70.6,72.8,0,BONN20
BROX10,"SP Distribution",0.97,59.9,55.1,0,"BROX1Q / BROX1R"
CAFA10,"SP Distribution",1,0.3,-7.2,5,CAFA1Q
CATY10,"SP Distribution",0.97,54,51.8,0,"CATY1Q / CATY1R"
CHAP10,"SP Distribution",0.94,46.8,47.2,0,CHAP10
CHAS20,"SP Distribution",0.96,90.7,58.2,0,"CHAS2Q / CHAS2R"
CLYM10,"SP Distribution",0.98,88.7,75,7,CLYM20
COAT30,"SP Distribution",0.98,74.1,70.5,0,"COAT2Q / COAT2R"
COCK30,"SP Distribution",0.98,48.1,46.4,0,COCK20
COYL10,"SP Distribution",0.93,50.6,41.1,10,COYL10
CROO31,"SP Distribution",0.99,52.5,49,0,"CROO1Q / CROO1R"
CROO32,"SP Distribution",0.99,28.6,19.1,0,"CROO1Q / CROO1R"
CUMB10,"SP Distribution",0.98,54.3,48.8,9,"CUMB1Q / CUMB1R"
CUPA10,"SP Distribution",0.96,69.1,66.7,0,"CUPA1Q / CUPA1R"
CURR20,"SP Distribution",0.98,13,12.3,0,CURR10
DEVM10,"SP Distribution",0.98,55.5,35.5,0,DEVM10
DEVO10,"SP Distribution",0.95,64.6,54.3,0,DEVO10
DEWP30,"SP Distribution",0.97,104.1,97.4,0,"DEWP2Q / DEWP2R"
DRCR30,"SP Distribution",0.99,17.8,7,0,"DRCR1Q / DRCR1R"
DRUM30,"SP Distribution",0.99,80.4,76.3,0,"DRUM2Q / DRUM2R"
DUMF31,"SP Distribution",0.91,47.9,41.3,0,DUMF10
DUMF32,"SP Distribution",0.9,11.1,7.4,0,DUMF10
DUMF50,"SP Distribution",0.99,18,16.6,0,DUMF10
DUNB30,"SP Distribution",0.92,40.3,31.1,0,"DUNB1Q / DUNB1R"
DUNF30,"SP Distribution",0.98,41.3,32.4,1,"DUNF1Q / DUNF1R"
EAST50,"SP Distribution",-1,0.9,-7.8,5,EAST1Q
ECCL30,"SP Distribution",1,55.9,33,0,ECCL10
EERH30,"SP Distribution",0.97,105.9,102,0,EERH20
EKIL30,"SP Distribution",0.97,76.8,73.8,0,"EKIL2S / EKIL2T"
EKIS30,"SP Distribution",0.96,38.6,33.3,4,EKIS20
ELDE10,"SP Distribution",0.98,47.8,46.1,0,"ELDE1Q / ELDE1R"
ERSK30,"SP Distribution",0.98,25.3,23.9,0,"ERSK1Q / ERSK1R"
GALA30,"SP Distribution",0.92,48.2,38,8,GALA10
GIFF30,"SP Distribution",0.98,82.1,70.9,0,"GIFF2Q / GIFF2R"
GLLE50,"SP Distribution",-1,2.5,-11.8,14,GLLE10
GLLU30,"SP Distribution",0.91,28,14.3,5,"GLLU1Q / GLLU1R"
GLNI30,"SP Distribution",0.98,26.6,12.9,0,GLNI10
GLRO30,"SP Distribution",0.96,45.5,43.8,0,GLRO20
GORG30,"SP Distribution",0.97,37.7,32.6,0,"GORG1Q / GORG1R"
GOVA30,"SP Distribution",0.97,42.5,30.4,0,"GOVA1Q / GOVA1R"
GRMO30,"SP Distribution",0.98,38.6,32.9,0,GRMO20
HAWI30,"SP Distribution",0.98,28.1,20.5,0,HAWI10
HELE30,"SP Distribution",0.99,22.6,11.1,0,HELE10
HUNF30,"SP Distribution",0.62,7.6,3.7,0,"HUNF1Q / HUNF1R"
INKE30,"SP Distribution",0.98,59.3,57.2,0,"INKE1Q / INKE1R"
JOHN30,"SP Distribution",0.98,50.8,48.6,0,"JOHN1Q / JOHN1R"
KAIM30,"SP Distribution",0.98,97.6,92.4,5,KAIM20
KEOO50,"SP Distribution",-1,0.4,-15.1,14,KEOO10
KIER30,"SP Distribution",0.98,76.8,70.7,2,"KIER1Q / KIER1R"
KILB30,"SP Distribution",0.97,35.5,23.4,0,"KILB1Q / KILB1R"
KILB50,"SP Distribution",0.98,11.8,10.9,0,"KILB1Q / KILB1R"
KILS30,"SP Distribution",0.98,38.3,33.8,1,KILS20
KILT30,"SP Distribution",0.96,92.2,88.3,0,"KILT2Q / KILT2R"
KILW30,"SP Distribution",0.96,51.9,22.2,16,KILW10
