Busbar,"Customer Name","Power Factor at NG Peak","Local Peak Demand","Demand at NG Peak","Embedded Generation at NG Peak","DCLF Node"
ALCA1B,"Northern Electric",0.9,118.7,-7,0,BLYT20
BLYT60,"Northern Electric",0.99,189,189,6,BLYT20
FERR11,"Northern Electric",0.97,92.5,91.2,0,FERR20_NED
FERR12,"Northern Electric",0.97,92.5,91.2,0,FERR20_NED
FOUR70,"Northern Electric",1,17,14,0,FOUR20
HARM60,"Northern Electric",0.98,102,99,3,HARM20
HAWP60,"Northern Electric",0.98,118,118,3,HAWP20
KNAR10,"Northern Electric",0.97,0,0,0,KNAR20
LACK60,"Northern Electric",0.99,245,216,0,LACK20
NORT11,"Northern Electric",0.96,260.2,254.3,12,NORT20
NORT12,"Northern Electric",0.96,260.2,254.3,12,NORT20
OFFE30,"Northern Electric",0.96,70,69,0,OFFE20
OSBA10,"Northern Electric",0.98,273,267,2,OSBA40
POPP30,"Northern Electric",0.98,51,50,0,POPP20
SALH10,"Northern Electric",0.9,134,-52,117,SALH20
SPEN10,"Northern Electric",0.96,267,267,7,SPEN20
SSHI30,"Northern Electric",0.97,51,49,0,SSHI20
STEN11,"Northern Electric",0.97,113.8,112.7,2,STEW20
STEN12,"Northern Electric",0.97,113.8,112.7,2,STEW20
STES10,"Northern Electric",0.97,265,262,7,STEW20
TYNE10,"Northern Electric",0.99,225,224,1,TYNE20
WBOL60,"Northern Electric",1,281,281,0,WBOL20
BRED10,"NORWEB (UU)",0.95,345.6,345.6,0,BRED20
CARR10,"NORWEB (UU)",0.95,266.8,266.8,20,CARR20
HARK11,"NORWEB (UU)",0.93,83.6,83.6,224,HARK20
HARK12,"NORWEB (UU)",0.92,59.8,59.8,134,HARK20
HEYS10,"NORWEB (UU)",0.72,-195.1,-195.1,316,HEYS40
HUTT10,"NORWEB (UU)",0.96,235.9,235.9,34,HUTT40
KEAR11,"NORWEB (UU)",0.96,334.9,334.9,0,KEAR20
KEAR12,"NORWEB (UU)",0.95,249.5,249.5,0,KEAR20
KEAR30,"NORWEB (UU)",0.97,125.2,125.2,8,KEAR20
MACC30,"NORWEB (UU)",0.95,83.4,83.4,9,MACC20
PADI10,"NORWEB (UU)",0.94,219.6,219.6,0,PADI40
PENE11,"NORWEB (UU)",0.96,167.8,167.8,0,PEWO40
PENE12,"NORWEB (UU)",0.96,97.2,97.2,0,PEWO40
PENW11,"NORWEB (UU)",0.96,98.7,98.7,6,PEWO20
PENW12,"NORWEB (UU)",0.97,89,89,0,PEWO20
RAIN10,"NORWEB (UU)",0.96,88.7,88.7,0,RAIN20
ROCH11,"NORWEB (UU)",0.96,246,246,9,ROCH20
ROCH12,"NORWEB (UU)",0.72,-34.2,-34.2,60,ROCH20
SMAN10,"NORWEB (UU)",0.96,334.5,334.5,19,SMAN20
STAH10,"NORWEB (UU)",0.93,344,254,12,"STAH4A / STAH4B"
STAL10,"NORWEB (UU)",0.94,423.5,423.5,0,STAL20
WASF1A,"NORWEB (UU)",0.94,176.9,176.9,4,WASF2A
WASF1B,"NORWEB (UU)",0.95,100.1,100.1,4,WASF2B
WHGA10,"NORWEB (UU)",0.97,312,312,4,WHGA20
CHAP10,"Nuclear Decommisssioning Authority",0.89,1.4,1.2,0,CHAP10
DUNG20,"Nuclear Decommisssioning Authority",0.89,4,4,0,"Station Load"
HINP20,"Nuclear Decommisssioning Authority",0.89,2,2,0,"Station Load"
OLDS11,"Nuclear Decommisssioning Authority",0.85,5,5,0,"Station Load"
SIZE10,"Nuclear Decommisssioning Authority",0.89,4,4,0,SIZE40
TRAW20,"Nuclear Decommisssioning Authority",0.89,1,1,0,TRAW20
WYLF10,"Nuclear Decommisssioning Authority",0.9,99,75,0,"Station Load"
ABTH11,"RWE Npower plc (Innogy)",0.82,44,39.5,0,ABTH20
ABTH12,"RWE Npower plc (Innogy)",0.82,44,39.5,0,ABTH20
BLYT60,"RWE Npower plc (Innogy)",0.85,0,0,0,BLYT20
DRAY10,"RWE Npower plc (Innogy)",0.85,50,15,0,
FAWL40,"RWE Npower plc (Innogy)",0.65,20,3,0,FAWL40
LITT10,"RWE Npower plc (Innogy)",0.88,23,4,0,LITT40
TILB11,"RWE Npower plc (Innogy)",0.85,22,4,0,TILB20
SAES20,Saltend,0.96,100,100,0,SAES20
BEDD10,"SEEBOARD Power Networks",0.96,575,573,0,
BOLN11,"SEEBOARD Power Networks",0.96,479.2,479.2,0,BOLN40
BOLN12,"SEEBOARD Power Networks",0.96,479.2,479.2,0,BOLN40
CHSI10,"SEEBOARD Power Networks",0.96,219.1,218.2,0,CHSI20
CHSI1A,"SEEBOARD Power Networks",0.96,78.5,77.6,0,CHSI20
CHSI1B,"SEEBOARD Power Networks",0.96,78.5,77.6,0,CHSI20
CSEK40,"SEEBOARD Power Networks",0.96,867.3,859.6,123,CSEK40
KEMS13,"SEEBOARD Power Networks",0.96,72.4,0,0,KEMS40
KINO10,"SEEBOARD Power Networks",0.96,228,229.1,0,KINO40
LALE10,"SEEBOARD Power Networks",0.96,78.8,78.6,0,LALE20_SPN
LITT10,"SEEBOARD Power Networks",0.96,3,3,0,LITT40
NFLE10,"SEEBOARD Power Networks",0.96,441.1,437,43.7,NFLE40
NINF10,"SEEBOARD Power Networks",0.96,465.9,465.9,0,NINF40
WWEY10,"SEEBOARD Power Networks",0.96,400.3,400,0,WWEY20
GRST60,"Sembcorp (Formerly ICI)",0.86,204,40,120,"Station Load"
MOSM50,SHELL,1,23.5,23.5,0,MOSM10
ABNE30,SHEPD,0.98,48.7,48.1,3,ABNE10
ALNE30,SHEPD,0.99,30.2,23.3,0,"ALNE1Q / ALNE1R"
ARBR30,SHEPD,0.98,38.7,38.4,0,"ARBR1Q / ARBR1R"
ARMO30,SHEPD,0.95,29.8,24.7,1,ARMO10
BEAU30,SHEPD,0.98,45.5,38.7,3,BEAU10
BOAG30,SHEPD,0.98,35.7,22.5,2,"BOAG1Q / BOAG1R"
BRAC30,SHEPD,0.98,44.7,43,2,"BRAC1Q / BRAC1R"
BRID30,SHEPD,0.98,40.7,40.2,0,"BRID1Q / BRID1R"
BROA30,SHEPD,0.98,11.7,9.7,1,BROA1Q
BROR30,SHEPD,0.99,11.9,9.1,0,BROR10
BUMU30,SHEPD,0.98,57.7,51.7,1,BUMU10
CAAD30,SHEPD,1,27.1,17.9,1,"CAAD1Q / CAAD1R"
CASS50,SHEPD,0.99,2.3,1.6,0,CASS1Q
CEAN50,SHEPD,0.95,4.6,2.1,0,CEAN1Q
CHAR30,SHEPD,0.98,31.6,31.4,0,CHAR10
CLAC30,SHEPD,0.94,-4.9,-4.4,8,CLAC1Q
CLAY30,SHEPD,0.97,59.4,54.8,0,"CLAY1Q / CLAY1R"
COUA30,SHEPD,0.97,30,25.7,0,COUA10
CRAI30,SHEPD,0.99,32.2,31.6,0,CRAI10
DOUN50,SHEPD,0.99,8.2,6.2,0,DOUN10
DUBE30,SHEPD,1,14.7,12.5,0,DUBE1Q
DUDH30,SHEPD,0.97,37,34.4,0,"DUDH1Q / DUDH1R"
DUGR30,SHEPD,0.98,8.7,6.9,2,DUGR1Q
DUNO30,SHEPD,0.97,22.2,18.2,5,"DUNO1Q / DUNO1R"
DYCE30,SHEPD,0.96,51.9,43.8,4,"DYCE1Q / DYCE1R"
ELGI30,SHEPD,0.97,57.8,57.5,0,"ELGI1Q / ELGI1R"
FASN30,SHEPD,0.97,-0.2,0.9,1,FASN10
FAUG30,SHEPD,0.96,1.4,0.8,1,FAUG10
FIDD30,SHEPD,0.98,24.3,24.3,0,FIDD1Q
FRAS30,SHEPD,0.95,24.2,21.6,0,"FRAS1Q / FRAS1R"
FWIL30,SHEPD,0.98,67.5,40.1,5,"FWIL1Q / FWIL1R"
GLAG30,SHEPD,0.98,31.2,24.1,2,"GLAG1Q / GLAG1R"
GRUB30,SHEPD,0.92,3.7,3.8,4,"GRUB1Q / GRUB1R"
INNE30,SHEPD,0.97,78.4,79.5,4,"INNE1Q / INNE1R"
KEIT30,SHEPD,1,0,0,0,KEIT10
KEMD30,SHEPD,0.98,94.9,89,0,
KIIN30,SHEPD,0.94,-1.5,-2.7,0,KIIN10
KILO30,SHEPD,0.98,3.3,2.8,0,KILO10
KINT30,SHEPD,0.98,73.8,73.8,0,KINT10
LAIR50,SHEPD,0.53,0.7,0.3,2,LAIR1Q
LUNA30,SHEPD,0.99,72.5,68.7,1,"LUNA1Q / LUNA1R"
LYND30,SHEPD,0.99,31.7,31.5,0,"LYND1Q / LYND1R"
MACD30,SHEPD,1,0,0,0,MACD1Q
MILC30,SHEPD,0.99,66.1,65.5,7,MILC10
MYBS30,SHEPD,0.95,9.5,7.9,0,"MYBS1Q / MYBS1R"
NAIR30,SHEPD,0.96,40.6,35.1,0,NAIR10
PEHG30,SHEPD,0.97,29,23.2,0,"PEHG1Q / PEHG1R"
PEHS50,SHEPD,0.99,10.2,7.1,0,PEHE10
PERS30,SHEPD,0.98,51,49.6,3,PERS10
PORA30,SHEPD,0.98,16,11.4,5,"PORA1Q / PORA1R"
RANN30,SHEPD,0.97,-1,1.2,3,"RANN1Q / RANN1R"
REDM30,SHEPD,0.97,51.4,50.6,0,"REDM1Q / REDM1R"
SFEG50,SHEPD,0.97,15.8,14.5,0,"SFEG1Q / SFEG1R"
SFIL30,SHEPD,0.95,-4,1.3,5,SFIL1Q
SHIN50,SHEPD,0.74,1.2,0.3,0,SHIN10
SLOY11,SHEPD,0.99,3.3,2.7,0,SLOY10
STLE30,SHEPD,0.88,14,9.1,2,STLE10
STRI30,SHEPD,0.98,19,16.5,0,"STRI1Q / STRI1R"
TARL30,SHEPD,0.97,20.1,14.7,0,"TARL1Q / TARL1R"
TAYN30,SHEPD,0.97,30.5,23.2,11,"TAYN1Q / TAYN1R"
THSO30,SHEPD,1,41.9,38.9,12,"THSO1Q / THSO1R"
TUMB30,SHEPD,0.98,16.2,14.1,1,"TUMB1Q / TUMB1R"
WIOW30,SHEPD,0.98,47.8,46.4,0,"WIOW1Q / WIOW1R"
WOHI30,SHEPD,0.98,44.8,44.8,0,"WOHI1Q / WOHI1R"
AMEM10,"Southern Electric",0.98,62.7,62.7,0,"AMEM4A_SEP / AMEM4B_SEP"
AXMI10,"Southern Electric",0.96,120.8,120.8,3,AXMI40_SEP
BOTW10,"Southern Electric",0.97,178.6,185.2,2,BOTW40
BRFL40,"Southern Electric",0.94,1363.2,1363.2,76,BRFL40
BRLE13,"Southern Electric",0.93,103.8,103.8,3,BRLE40
BRLE14,"Southern Electric",0.93,103.8,103.8,3,BRLE40
CHIC10,"Southern Electric",0.95,104.4,104.4,47,CHIC40
COWL10,"Southern Electric",0.96,750.2,750.2,4,COWL40
EALI60,"Southern Electric",0.92,241,241,2,EALI20
FAWL10,"Southern Electric",0.89,331.6,331.6,125,FAWL40
IVER10,"Southern Electric",0.97,444.3,442.7,20,IVER20
IVER60,"Southern Electric",0.86,134.1,134.1,4,IVER20
LALE10,"Southern Electric",0.9,215.6,215.6,16,LALE20_SEP
LOVE10,"Southern Electric",0.96,670.1,670.1,17.6,LOVE40
MANN10,"Southern Electric",0.98,727.8,727.8,7,MANN40
MELK10,"Southern Electric",0.95,396.5,413.8,11,MELK40_SEP
MITY10,"Southern Electric",0.97,351.9,351.9,3.9,MITY40
NHYD60,"Southern Electric",0.95,201.1,201.1,0,"NHYD2A / NHYD2B"
NURS10,"Southern Electric",0.97,432.2,432.2,5,NURS40
TYNE50,"Southern Electric",0.95,5.8,5.8,0,TYNE20
WISD60,"Southern Electric",0.94,130.3,130.3,0,WISD20_EPN
AYR20,"SP Distribution",0.97,65.8,63.3,0,"AYRR2Q / AYRR2R"
BRAE1,"SP Distribution",0.96,40,37.1,0,BRAP10
GRMO3,"SP Distribution",0.98,40.9,34.4,4,GRMO20
HAGR3,"SP Distribution",0.97,54.3,45.1,0,"HAGR1Q / HAGR1R"
PAIS3,"SP Distribution",0.98,42.9,31.6,0,"PAIS1S / PAIS1T"
BAGA10,"SP Distribution",0.98,66.2,64,0,"BAGA1Q / BAGA1R"
BAIN10,"SP Distribution",0.97,41.2,39.3,0,BAIN10
BERW10,"SP Distribution",0.81,34.6,23.3,0,"BERW1Q / BERW1R"
BONN20,"SP Distribution",0.94,70.1,72.6,0,BONN20
BROX10,"SP Distribution",0.97,59.5,54.9,0,"BROX1Q / BROX1R"
CAFA10,"SP Distribution",1,0.3,-7.2,5,CAFA1Q
CATY10,"SP Distribution",0.97,53.6,51.6,0,"CATY1Q / CATY1R"
CHAP10,"SP Distribution",0.94,46.5,47,0,CHAP10
CHAS20,"SP Distribution",0.96,90.1,58,0,"CHAS2Q / CHAS2R"
CLYM10,"SP Distribution",0.98,88.1,74.7,7,CLYM20
COAT30,"SP Distribution",0.98,73.6,70.3,0,"COAT2Q / COAT2R"
COCK30,"SP Distribution",0.98,47.8,46.2,0,COCK20
COYL10,"SP Distribution",0.93,50.3,40.9,10,COYL10
CROO31,"SP Distribution",0.99,52.2,48.9,0,"CROO1Q / CROO1R"
CROO32,"SP Distribution",0.99,28.4,19,0,"CROO1Q / CROO1R"
CUMB10,"SP Distribution",0.98,54,48.6,9,"CUMB1Q / CUMB1R"
CUPA10,"SP Distribution",0.96,68.6,66.5,0,"CUPA1Q / CUPA1R"
CURR20,"SP Distribution",0.98,13,12.3,0,CURR10
DEVM10,"SP Distribution",0.98,55.2,35.3,0,DEVM10
DEVO10,"SP Distribution",0.95,64.2,54.1,0,DEVO10
DEWP30,"SP Distribution",0.97,103.4,97.1,0,"DEWP2Q / DEWP2R"
DRCR30,"SP Distribution",0.99,17.6,7,0,"DRCR1Q / DRCR1R"
DRUM30,"SP Distribution",0.99,79.9,76,0,"DRUM2Q / DRUM2R"
DUMF31,"SP Distribution",0.91,47.6,41.2,0,DUMF10
DUMF32,"SP Distribution",0.9,11.1,7.4,0,DUMF10
DUMF50,"SP Distribution",0.99,17.9,16.6,0,DUMF10
DUNB30,"SP Distribution",0.92,40.1,31,0,"DUNB1Q / DUNB1R"
DUNF30,"SP Distribution",0.98,41,32.3,1,"DUNF1Q / DUNF1R"
EAST50,"SP Distribution",-1,0.9,-7.8,5,EAST1Q
ECCL30,"SP Distribution",1,55.5,32.9,0,ECCL10
EERH30,"SP Distribution",0.97,105.2,101.7,0,EERH20
EKIL30,"SP Distribution",0.97,76.3,73.6,0,"EKIL2S / EKIL2T"
EKIS30,"SP Distribution",0.96,38.4,33.2,4,EKIS20
ELDE10,"SP Distribution",0.98,47.5,45.9,0,"ELDE1Q / ELDE1R"
ERSK30,"SP Distribution",0.98,25.1,23.9,0,"ERSK1Q / ERSK1R"
GALA30,"SP Distribution",0.92,47.8,37.9,8,GALA10
GIFF30,"SP Distribution",0.98,81.6,70.7,0,"GIFF2Q / GIFF2R"
GLLE50,"SP Distribution",-1,2.5,-11.8,14,GLLE10
GLLU30,"SP Distribution",0.91,27.8,14.2,5,"GLLU1Q / GLLU1R"
GLNI30,"SP Distribution",0.98,26.4,19,0,GLNI10
GLRO30,"SP Distribution",0.96,45.2,43.7,0,GLRO20
GORG30,"SP Distribution",0.97,37.4,32.5,0,"GORG1Q / GORG1R"
GOVA30,"SP Distribution",0.97,42.3,30.3,0,"GOVA1Q / GOVA1R"
GRMO30,"SP Distribution",0.98,38.3,32.8,0,GRMO20
HAWI30,"SP Distribution",0.98,27.9,26.9,0,HAWI10
HELE30,"SP Distribution",0.99,22.5,11,0,HELE10
HUNF30,"SP Distribution",0.62,7.6,3.7,0,"HUNF1Q / HUNF1R"
INKE30,"SP Distribution",0.98,58.9,57,0,"INKE1Q / INKE1R"
JOHN30,"SP Distribution",0.98,50.5,48.4,0,"JOHN1Q / JOHN1R"
KAIM30,"SP Distribution",0.98,96.9,92.1,5,KAIM20
KEOO50,"SP Distribution",-1,0.4,-15.1,14,KEOO10
KIER30,"SP Distribution",0.98,76.3,70.5,2,"KIER1Q / KIER1R"
KILB30,"SP Distribution",0.97,35.3,23.4,0,"KILB1Q / KILB1R"
KILB50,"SP Distribution",0.98,11.8,10.9,0,"KILB1Q / KILB1R"
KILS30,"SP Distribution",0.98,38.1,33.7,1,KILS20
KILT30,"SP Distribution",0.96,91.6,88.1,0,"KILT2Q / KILT2R"
KILW30,"SP Distribution",0.96,51.5,22.1,16,KILW10
