"Site Name","Site Code","Voltage (kV)","Demand Tariff Zone","Generation Tariff Zone","LV Shunt Susceptance"
"Grimsby West",GRIW,400,5,9,0
"Grimsby West",GRIW,132,12,16,0
Hackney,HACK,400,12,16,0
Hackney,HACK,275,12,16,0
"Hambleton Tee",HAMB,400,4,9,0
"Hams Hall",HAMH,400,7,14,0
"Hams Hall",HAMH,275,7,14,0
"Hams Hall",HAMH,132,7,14,17.28
Harker,HARK,400,4,9,0
Harker,HARK,275,4,9,0
Harker,HARK,132,4,9,13
"Hart Moor",HARM,275,3,10,0
Hartlepool,HATL,275,3,10,0
"Hawthorn Pit",HAWP,400,3,10,0
"Hawthorn Pit",HAWP,275,3,10,0
Heysham,HEYS,400,4,9,0
Heysham,HEYS,275,4,9,0
Heysham,HEYS,132,4,9,13.36
"High Marnham",HIGM,400,7,13,0
"High Marnham",HIGM,275,7,13,0
"Hinkley Point",HINP,400,14,19,0
"Hinkley Point",HINP,275,14,19,0
"Humber Refinery",HUMR,400,5,9,0
Hurst,HURS,275,12,17,0
Hutton,HUTT,400,4,9,0
"Imperial Park",IMPP,400,10,15,0
Ince,INCE,132,6,13,0
"Indian Queens",INDQ,400,14,20,0
"Iron Acton",IROA,275,8,15,0
"Iron Acton",IROA,132,8,15,39.57
Ironbridge,IRON,400,8,14,0
Ironbridge,IRON,132,8,14,5.33
Iver,IVER,400,13,18,0
Iver,IVER,275,13,18,0
Jordanthorpe,JORD,275,5,13,0
Keadby,KEAD,400,5,13,0
Keadby,KEAD,132,5,13,0
Kearsley,KEAR,400,4,9,0
Kearsley,KEAR,275,4,9,0
Kearsley,KEAR,132,4,9,0
Kemsley,KEMS,400,11,17,0
Killinghome,KILL,400,5,9,0
"Kings Lynn",KLYN,132,7,13,0
Kingsnorth,KINO,400,11,17,0
Kingsnorth,KINO,132,11,17,127
Kirkby,KIBY,275,6,9,0
Kirkstall,KIRK,275,5,9,0
Kirkstall,KIRK,132,5,9,24
Kitwell,KITW,275,8,14,0
Knaresborough,KNAR,275,3,9,0
Knaresborough,KNAR,132,3,9,0
Lackenby,LACK,400,3,10,0
Lackenby,LACK,275,3,10,0
Laleham,LALE,275,11,18,0
Landulph,LAND,400,14,20,0
Legacy,LEGA,400,6,14,0
"Leighton Buzzard",LEIB,400,7,14,0
"Lister Drive",LISD,275,6,9,0
Littlebrook,LITT,400,12,17,0
Littlebrook,LITT,275,12,17,0
Littlebrook,LITT,132,12,17,8.65
Lovedean,LOVE,400,13,18,0
Macclesfield,MACC,400,4,13,0
Macclesfield,MACC,275,4,13,0
Mannington,MANN,400,13,19,0
Margam,MAGA,275,10,15,0
Melksham,MELK,400,13,15,0
Melksham,MELK,275,13,15,0
Melksham,MELK,132,13,15,42.84
"Mill Hill",MILH,275,12,18,0
"Mill Hill",MILH,132,12,18,16.5
Minety,MITY,400,13,15,0
"Monk Fryston",MONF,400,5,9,0
"Monk Fryston",MONF,275,5,9,0
Nechells,NECH,275,8,14,0
Neepsend,NEEP,400,5,13,0
Neepsend,NEEP,275,5,13,0
"New Cross",NEWX,275,12,16,0
Ninfield,NINF,400,11,18,0
Ninfield,NINF,33,11,18,0
"North Hyde",NHYD,275,13,18,0
"North Hyde",NHYD,66,13,18,0
"Northfleet East",NFLE,400,11,17,0
"Northfleet East",NFLE,132,11,17,33.2
Norton,NORT,400,3,10,0
Norton,NORT,275,3,10,0
"Norton Lees",NORL,275,5,13,0
"Norwich Main",NORW,400,9,14,0
Nursling,NURS,400,13,19,0
"Ocker Hill",OCKH,275,8,14,0
"Ocker Hill",OCKH,132,8,14,10.48
Offerton,OFFE,275,3,10,0
Oldbury,OLDB,400,8,14,0
Oldbury,OLDB,275,8,14,0
Oldbury,OLDB,132,8,14,16.88
Osbaldwick,OSBA,400,3,9,0
Osbaldwick,OSBA,132,3,9,15
Padiham,PADI,400,4,9,0
Padiham,PADI,132,4,9,2.9
"Patford Bridge",PAFB,400,7,14,0
Pelham,PELH,400,9,14,0
Pembroke,PEMB,400,10,15,0
Pembroke,PEMB,132,10,15,43.03
Penn,PENN,400,8,14,0
Penn,PENN,275,8,14,0
Pentir,PENT,400,6,11,0
Penwortham,PEWO,400,4,9,0
Penwortham,PEWO,275,4,9,0
Pitsmoor,PITS,275,5,13,0
Poppleton,POPP,275,3,9,0
Pyle,PYLE,275,10,15,0
Pyle,PYLE,132,10,15,4.41
Quernmore,QUER,400,4,9,0
Rainhill,RAIN,275,6,9,0
Rassau,RASS,400,10,15,0
Ratcliffe-on-Soar,RATS,400,7,14,0
Ratcliffe-on-Soar,RATS,275,7,14,0
Ratcliffe-on-Soar,RATS,132,7,14,82.56
Rayleigh,RAYL,400,9,17,0
Redbridge,REBR,275,12,17,0
Rochdale,ROCH,400,4,9,0
Rochdale,ROCH,275,4,9,0
Rugeley,RUGE,400,8,14,0
Rugeley,RUGE,132,8,14,25.9
"Rye House",RYEH,400,9,17,0
"Saltend North",SAEN,275,5,9,0
"Saltend South",SAES,275,5,9,0
Saltholme,SALH,400,3,10,0
Saltholme,SALH,275,3,10,0
Seabank,SEAB,400,14,15,0
Seabank,SEAB,132,14,15,0
Sellindge,SELL,400,11,17,0
"Sheffield City",SHEC,275,5,13,0
Shrewsbury,SHRE,400,8,14,0
Shrewsbury,SHRE,132,8,14,1
Siizewell,SIZE,400,9,14,0
Siizewell,SIZE,132,9,14,0
Singlewell,SING,400,11,17,0
"Skelton Grange",SKLG,275,5,9,0
"Skelton Grange",SKLG,132,5,9,79.5
"South Humber Bank",SHBA,400,5,9,0
"South Manchester",SMAN,275,4,13,0
"South Shields",SSHI,275,3,10,0
Spennymoor,SPEN,400,3,10,0
"St Johns Wood",SJOW,400,12,16,0
"St Johns Wood",SJOW,275,12,16,0
Stalybridge,STAL,400,4,13,0
Stalybridge,STAL,275,4,13,0
Stanah,STAH,400,4,9,0
Staythorpe,STAY,400,7,13,0
Staythorpe,STYC,132,7,13,0
"Stella North",STEN,132,3,10,17.5
"Stella South",STES,132,3,10,12
"Stella West",STEW,400,3,10,0
"Stella West",STEW,275,5,13,0
Stocksbridge,STSB,400,9,14,0
Sundon,SUND,400,10,15,0
"Swansea North",SWAN,400,10,15,0
"Swansea North",SWAN,275,14,19,0
Taunton,TAUN,400,5,13,0
Templeborough,TEMP,275,5,9,0
Thornton,THTO,400,5,13,0
"Thorpe Marsh",THOM,400,5,13,0
"Thorpe Marsh",THOM,275,5,13,0
"Thorpe Marsh",THOM,66,5,13,0
Thurcroft,THUR,275,9,17,0
Tilbury,TILB,400,9,17,0
Tilbury,TILB,275,9,17,2.5
Tilbury,TILB,132,5,13,0
"Tinsley Park",TINP,275,3,10,0
"Tod Point",TODP,400,9,17,0
Tottenham,TOTT,132,6,13,0
Trawsfynydd,TRAW,400,6,13,0
Trawsfynydd,TRAW,275,10,15,0
Tremorfa,TREM,275,6,13,0
"Treuddyn Tee",TREU,400,3,10,0
Tynemouth,TYNE,275,3,10,34
Tynemouth,TYNE,132,3,10,0
Tynemouth,TYNE,11,10,15,0
"Upper Boat",UPPB,275,10,15,0
Uskmouth,USKM,275,10,15,37.2
Uskmouth,USKM,132,8,15,0
Walham,WALH,400,8,15,0
Walpole,WALP,400,7,13,10.2
Walpole,WALP,132,9,17,0
"Waltham Cross",WALX,400,9,17,0
"Waltham Cross",WALX,275,9,17,0
Warley,WARL,275,4,9,0
"Washway Farm",WASF,275,9,18,0
"Watford South",WATS,275,9,18,0
"Watford South",WATS,132,3,10,0
"West Boldon",WBOL,275,5,13,0
"West Burton",WBUR,400,5,13,15
"West Burton",WBUR,132,12,17,0
"West Ham",WHAM,400,12,17,0
"West Ham",WHAM,132,5,13,0
"West Melton",WMEL,275,9,17,0
"West Thurrock",WTHU,400,11,18,0
"West Weybridge",WWEY,400,11,18,0
"West Weybridge",WWEY,275,4,9,0
Whitegate,WHGA,275,10,15,0
Whitson,WHSO,400,10,15,0
Whitson,WHSO,275,8,14,0
Willenhall,WIEN,275,12,16,0
Willesden,WISD,275,12,16,19
Willesden,WISD,132,12,16,45
Willesden,WISD,66,7,14,0
Willington,WILL,275,7,14,46
Willington,WILL,132,7,14,0
"Willington East",WILE,400,3,10,0
Wilton,WILT,275,12,16,0
Wimbledon,WIMB,275,12,16,0
Wylfa,WYLF,400,6,11,36
Wylfa,WYLF,132,9,14,0
Wymondley,WYMO,400,9,14,35
