"Station Name","Set No","BM Unit","Plant Type","Unit Effective Capacity (MW)","Commissioning Year","MVAr Lead","MVAr Lag","MVA Infeed",Node,"SYS Study Zone",Licensee,
Brigg,1,,CCGT,42.7,1993,-16.3,22.2,221.4,BRIG10,Z8,NGET,
Brigg,2,,CCGT,42.7,1993,-16.3,22.2,221.4,BRIG11,Z8,NGET,
Brigg,3,,CCGT,43.7,1993,-16.4,22.1,221.4,BRIG12,Z8,NGET,
Brigg,4,,CCGT,43.7,1993,-16.4,22.1,221.4,BRIG13,Z8,NGET,
Brigg,5,,CCGT,43.7,1993,-16.4,22.1,221.4,BRIG14,Z8,NGET,
Brigg,6,,CCGT,43.7,1993,-16.4,22.1,221.4,BRIG15,Z8,NGET,
Brimsdown,1,T_EECL-1,CCGT,408,1999,-212.5,180.4,1080.5,BRIM10,Z14,NGET,
"Cairn Uish Rothes",1,,Wind,51,2004,-16,16,261,CAIR8W,Z1,SHETL,
Cashlie,1,,Hydro,11,,-1,-1,34,CASH30,Z4,SHETL,
Cassley,,,Hydro,10,,,,,,Z1,SHETL,
Causeymire,1,,Wind,27,2004,-2.5,-2.5,141,CAUS81,Z1,SHETL,
Causeymire,2,,Wind,27,2004,-2.5,-2.5,141,CAUS82,Z1,SHETL,
Ceannacroc,1,,Hydro,10,,-0.9,-0.9,65,CEAN1Q,Z1,SHETL,
Ceannacroc,2,,Hydro,10,,0,0,24,CEAN80,Z1,SHETL,
Clachan,1,,Hydro,40,,-4,-4,147,CLAC1Q,Z4,SHETL,
Clunie,1,CAS-CLU01,Hydro,20.3,,-0.8,-0.8,80,CLUN1Q,Z4,SHETL,
Clunie,2,,Hydro,20.3,,0,0,94,CLUN82,Z4,SHETL,
Clunie,3,,Hydro,20.3,,0,0,94,CLUN82,Z4,SHETL,
Cockenzie,1,COCK-1,"Large Coal",276,,-108,117,941,COCK20,Z6,SPT,
Cockenzie,2,COCK-2,"Large Coal",276,,-108,117,941,COCK20,Z6,SPT,
Cockenzie,3,COCK-3,"Large Coal",276,,-56,-56,941,COCK20,Z6,SPT,
Cockenzie,4,COCK-4,"Large Coal",276,,-56,-56,941,COCK20,Z6,SPT,
"Connahs Quay",,T_CNQPS-1,CCGT,345,1996,-174.4,157.2,1061.6,DEES41,Z9,NGET,
"Connahs Quay",,T_CNQPS-2,CCGT,345,1996,-174.5,157.1,1061,DEES41,Z9,NGET,
"Connahs Quay",,T_CNQPS-3,CCGT,345,1996,-174.7,156.8,1059.2,DEES41,Z9,NGET,
"Connahs Quay",,T_CNQPS-4,CCGT,345,1996,-174.6,157.8,1060,DEES41,Z9,NGET,
Corby,,,CCGT,133.7,1993,-84.9,55.9,457.2,GREN11,Z12,NGET,
Corby,,,CCGT,133.7,1993,-84.9,55.9,457.2,GREN12,Z12,NGET,
Corby,,,CCGT,133.7,1993,-84.9,55.9,457.2,GREN12,Z12,NGET,
Coryton,,T_COSO-1,CCGT,266.7,2000,-135.4,130.9,1062.3,COSO40,Z15,NGET,
Coryton,,T_COSO-1,CCGT,266.7,2000,-135.4,130.9,1062.3,COSO40,Z15,NGET,
Coryton,,T_COSO-1,CCGT,266.7,2000,-122.4,155.6,1029.5,COSO40,Z15,NGET,
Cottam,1,T_COTPS-1,"Large Coal",495,1969,-193.4,174.1,1522,COTT40,Z10,NGET,
Cottam,2,T_COTPS-2,"Large Coal",505,1969,-190.2,154.9,1527.4,COTT40,Z10,NGET,
Cottam,3,T_COTPS-3,"Large Coal",505,1970,-195.1,155.4,1531.4,COTT40,Z10,NGET,
Cottam,4,T_COTPS-4,"Large Coal",495,1970,-192.1,175.7,1533.3,COTT40,Z10,NGET,
"Cottam Dev Centre",,T_CDCL_01,CCGT,395,2000,-183.9,164.8,2043.8,COTT40,Z10,NGET,
Cowes,1,,OCGT,73,1982,-33.2,30.5,299,FAWL10,Z16,NGET,
Cowes,2,,OCGT,73,1982,-33.1,30.6,301,FAWL10,Z16,NGET,
"Cruach Mhor Glendaruel",1,,Wind,30,2004,-2.5,-2.5,148,CRMH8W,Z1,SHETL,
Cruachan,1,CRUA-1,"Pumped Storage",110,,-59.3,37.1,441,CRUA2Q,Z4,SPT,
Cruachan,2,CRUA-2,"Pumped Storage",110,,-59.2,37.2,442,CRUA2Q,Z4,SPT,
Cruachan,3,CRUA-3,"Pumped Storage",110,,-59,37.4,507,CRUA2R,Z4,SPT,
Cruachan,4,CRUA-4,"Pumped Storage",110,,-59,37.4,477,CRUA2R,Z4,SPT,
"Crystal Rig 2",,,Wind,200,2009,-65.7,65.7,611,CRYR30,Z6,SPT,
"Crystal Rigg Duns",1,,Wind,63,2003,-24.6,25.8,285.7,CRYR30,Z6,SPT,
Culligran,1,,Hydro,19,,-1.1,6.9,70,CULL1Q,Z1,SHETL,
Dalswinton,,,Wind,30,,,,,,Z6,SPT,
"Damhead Creek",,T_DAMC-1,CCGT,273,2000,-129.3,121.5,889.9,DAMC40,Z15,NGET,
"Damhead Creek",,T_DAMC-1,CCGT,273,2000,-130.4,112,901.5,DAMC40,Z15,NGET,
"Damhead Creek",,T_DAMC-1,CCGT,259,2000,-121.7,118.7,902.5,DAMC40,Z15,NGET,
Deanie,1,,Hydro,19,,0,0,71,DEAN80,Z1,SHETL,
Deanie,2,,Hydro,19,,0,0,71,DEAN80,Z1,SHETL,
Deeside,,T_DEEP-1,CCGT,89.5,1994,-85.4,73.3,696.9,DEES42,Z9,NGET,400.5
Deeside,,T_DEEP-1,CCGT,163,1994,-85.4,73.3,696.9,DEES42,Z9,NGET,
Deeside,,T_DEEP-1,CCGT,148,1994,-67.4,101.2,598,DEES42,Z9,NGET,
Derwent,,,CCGT,41,1994,-22.9,22.8,143.6,WILL10,Z11,NGET,232
Derwent,,,CCGT,41,1994,-22.9,22.8,143.6,WILL10,Z11,NGET,
Derwent,,,CCGT,41,1994,-22.9,22.8,143.6,WILL10,Z11,NGET,
Derwent,,,CCGT,46,1994,-21.8,17.6,143.6,WILL10,Z11,NGET,
Derwent,,,CCGT,63,1994,-30.7,15.3,241.9,WILL10,Z11,NGET,
"Deucherin Hill",1,,Wind,15,,-3,-3,77,DEUC8W,Z3,SHETL,
"Didcot A",1,T_DIDC1,"Dual Fuel",527,1973,-267,183.6,1853.9,DIDC42,Z13,NGET,2108
"Didcot A",2,T_DIDC2,"Dual Fuel",527,1972,-258.1,202.4,1873.6,DIDC42,Z13,NGET,
"Didcot A",3,T_DIDC3,"Large Coal",527,1973,-264,187.1,1884.2,DIDC41,Z13,NGET,
"Didcot A",4,T_DIDC4,"Dual Fuel",527,1975,-266.9,183.8,1851.7,DIDC41,Z13,NGET,
"Didcot A GT",,T_DIDC1G,OCGT,25,1968,,,,DIDC42,Z13,NGET,
"Didcot A GT",,T_DIDC2G,OCGT,25,1969,,,,DIDC42,Z13,NGET,
"Didcot A GT",,T_DIDC3G,OCGT,25,1969,,,,DIDC41,Z13,NGET,
"Didcot A GT",,T_DIDC4G,OCGT,25,1970,,,,DIDC41,Z13,NGET,
"Didcot B",,T_DIDCB5,CCGT,240.7,1996,-89.9,60.9,824,DIDC41,Z13,NGET,1550
"Didcot B",,T_DIDCB5,CCGT,240.7,1996,-89.9,60.9,824,DIDC41,Z13,NGET,
"Didcot B",,T_DIDCB5,CCGT,293.4,1996,-111.9,76.1,854.9,DIDC41,Z13,NGET,
"Didcot B",,T_DIDCB6,CCGT,237.7,1997,-88.2,64.3,823.4,DIDC42,Z13,NGET,
"Didcot B",,T_DIDCB6,CCGT,237.7,1997,-84,72.5,823.4,DIDC42,Z13,NGET,
"Didcot B",,T_DIDCB6,CCGT,299.8,1997,-122,105.2,854.3,DIDC42,Z13,NGET,
Dinorwig,1,T_DINO-1,"Pumped Storage",274,1984,-139.9,90.1,1140.5,DINO40,Z9,NGET,
Dinorwig,2,T_DINO-2,"Pumped Storage",274,1984,-139.9,90.1,1140.5,DINO40,Z9,NGET,
Dinorwig,3,T_DINO-3,"Pumped Storage",274,1983,-139.9,90.1,1140.5,DINO40,Z9,NGET,
Dinorwig,4,T_DINO-4,"Pumped Storage",274,1984,-139.9,90.1,1140.5,DINO40,Z9,NGET,
Dinorwig,5,T_DINO-5,"Pumped Storage",274,1984,-139.9,90.1,1140.5,DINO40,Z9,NGET,
Dinorwig,6,T_DINO-6,"Pumped Storage",274,1984,-139.9,90.1,1140.5,DINO40,Z9,NGET,
"Dounreay Wind (Caithness)",1,,Wind,18,2005,-4.5,4.5,141,DOUW8W,Z1,SHETL,
Drax,1,T_DRAXX-1,"Large Coal",649,1974,-289,268.2,2177.8,DRAX41,Z8,NGET,3894
Drax,2,T_DRAXX-2,"Large Coal",649,1974,-288.5,268.8,2182.6,DRAX41,Z8,NGET,
Drax,3,T_DRAXX-3,"Large Coal",649,1976,-290.5,266.4,2121.9,DRAX41,Z8,NGET,
Drax,4,T_DRAXX-4,"Large Coal",649,1984,-271.1,271.7,2207.8,DRAX42,Z8,NGET,
Drax,5,T_DRAXX-5,"Large Coal",649,1985,-271.9,270.8,2198.8,DRAX42,Z8,NGET,
Drax,6,T_DRAXX-6,"Large Coal",649,1986,-271,271.9,2209.7,DRAX42,Z8,NGET,
Drax,,T_DRAXX-10G,OCGT,,1981,,,,N/A,Z8,NGET,
Drax,,T_DRAXX-12G,OCGT,,1981,,,,N/A,Z8,NGET,
Drax,,T_DRAXX-9G,OCGT,15,1973,,,,N/A,Z8,NGET,
"Drone Hill",,,Wind,38,2008,-12.5,12.5,178,DRHI30,Z6,SPT,
"Drumderg Wind (Dalrulzion)",1,,Wind,16,2007,-5.3,5.3,90,DRUW81,Z4,SHETL,
"Drumderg Wind (Dalrulzion)",2,,Wind,16,2007,-5.3,5.3,90,DRUW82,Z4,SHETL,
"Dun Law",1,,Wind,29.8,2008,-13.6,15.4,175.8,DUNE30,Z6,SPT,
"Dungeness B",21,T_DNGB21,"Nuclear AGR",541,1985,-286.4,315,2224,DUNG40,Z15,NGET,
"Dungeness B",22,T_DNGB22,"Nuclear AGR",541,1989,-297.8,308.6,2355.6,DUNG40,Z15,NGET,
Earlsburn,1,,Wind,35,2006,-13.4,14.8,198.8,EARB30,Z6,SPT,
"Edinbane Wind",1,,Wind,42,2008,-26.4,10.5,156,EDIN10,Z1,SHETL,
Eggborough,1,T_EGGPS-1,"Large Coal",483,1968,-144.6,209.1,1648,EGGB42,Z8,NGET,
Eggborough,2,T_EGGPS-2,"Large Coal",483,1968,-150.6,217.1,1588.2,EGGB42,Z8,NGET,
Eggborough,3,T_EGGPS-3,"Large Coal",483,1968,-144.1,164.7,1637.5,EGGB41,Z8,NGET,
Eggborough,4,T_EGGPS-4,"Large Coal",483,1969,-148.2,184.3,1605.3,EGGB41,Z8,NGET,
Eggborough,,,OCGT,,1967,,,,EGGB42,Z8,NGET,
Eggborough,,,OCGT,,1968,,,,EGGB41,Z8,NGET,
"Eredine Forest Wind (Argyll)",1,,Wind,30,2008,-9.9,9.9,130,ERED8W,Z3,SHETL,
Errochty,1,ERRO-1,Hydro,25,,-1.7,10,109,ERRO10,Z4,SHETL,
Errochty,2,ERRO-2,Hydro,25,,0,12.1,154,ERRO82,Z4,SHETL,
Errochty,3,ERRO-3,Hydro,25,,-1.7,10,109,ERRO10,Z4,SHETL,
"Exxon Mosmorran",1,,CHP,16,,0,0,16,MOSM10,Z5,SPT,
"Fairburn Wind",1,,Wind,42,2009,-10.5,10.5,276,FAWI80,Z1,SHETL,
"Farr Windfarm (Tomatin)",1,,Wind,46,2005,-29,1,240,FAAR1Q,Z1,SHETL,
"Farr Windfarm (Tomatin)",2,,Wind,46,2005,-29,1,240,FAAR1R,Z1,SHETL,
Fasnakyle,1,FASN-1,Hydro,23,,-3,-3,74,FASN10,Z1,SHETL,
Fasnakyle,1,FASN-1,Hydro,23,,-3,-3,74,FASN10,Z1,SHETL,
Fasnakyle,2,FASN-2,Hydro,23,,-2.5,-2.5,80,FASN10,Z1,SHETL,
Fasnakyle,2,FASN-2,Hydro,23,,-2.5,-2.5,80,FASN10,Z1,SHETL,
Fasnakyle,3,FASN-3,Hydro,23,,-1.6,-1.6,93,FASN10,Z1,SHETL,
Fasnakyle,3,FASN-3,Hydro,23,,-1.6,-1.6,93,FASN10,Z1,SHETL,
Fawley,1,T_FAWL1,Oil,500,1969,-156.7,199,1603.6,FAWL40,Z16,NGET,1223
Fawley,3,T_FAWL3,Oil,500,1970,-154.3,201.3,1601.4,FAWL40,Z16,NGET,
Fawley,,T_FAWL1G,OCGT,17,1969,,,,FAWL40,Z16,NGET,
Fawley,,T_FAWL2G,OCGT,23,1969,,,,FAWL40,Z16,NGET,
Fawley,,T_FAWL3G,OCGT,17,1970,,,,FAWL40,Z16,NGET,
Fawley,,T_FAWL4G,OCGT,8,1970,,,,FAWL40,Z16,NGET,
"Fawley CHP",1,,OCGT,158,1999,-90,19.7,368.2,FAWL10,Z16,NGET,
"Ferrybridge C",1,T_FERR-1,"Large Coal",490,1966,-155.3,195.9,1544.2,FERR23,Z8,NGET,1981
"Ferrybridge C",2,T_FERR-2,"Large Coal",490,1967,-154.8,196.6,1513.9,FERR22,Z8,NGET,
"Ferrybridge C",3,T_FERR-3,"Large Coal",490,1967,-154.2,197.3,1519.4,FERR22,Z8,NGET,
"Ferrybridge C",4,T_FERR-4,"Large Coal",490,1968,-150.5,196.1,1540,FERR23,Z8,NGET,
"Ferrybridge C",,T_FERR-5G,OCGT,10.5,,,,,FERR21,Z8,NGET,
"Ferrybridge C",,T_FERR-8G,OCGT,10.5,1967,,,,FERR23,Z8,NGET,
Ffestiniog,1,T_FFES-1,"Pumped Storage",90,1961,-38.8,21.2,375.6,FFES21,Z9,NGET,
Ffestiniog,2,T_FFES-2,"Pumped Storage",90,,-38.8,21.2,375.6,FFES21,Z9,NGET,
Ffestiniog,3,T_FFES-3,"Pumped Storage",90,1963,-38.8,21.2,375.6,FFES22,Z9,NGET,
Ffestiniog,4,T_FFES-4,"Pumped Storage",90,,-38.8,21.2,375.6,FFES22,Z9,NGET,
"Fiddlers Ferry",1,T_FIDL-1,"Large Coal",485,1971,-166.6,211.3,1649.6,FIDF21,Z9,NGET,1961
"Fiddlers Ferry",2,T_FIDL-2,"Large Coal",485,1972,-166.5,213.8,1649.7,FIDF22,Z9,NGET,
"Fiddlers Ferry",3,T_FIDL-3,"Large Coal",485,1972,-172,229.6,1659.7,FIDF23,Z9,NGET,
"Fiddlers Ferry",4,T_FIDL-4,"Large Coal",506,1973,-164.3,120.6,1693.3,FIDF24,Z9,NGET,
"Fiddlers Ferry",,T_FIDL-2G,OCGT,,1969,,,,FIDF22,Z9,NGET,
"Fiddlers Ferry",,T_FIDL-3G,OCGT,,1970,,,,FIDF23,Z9,NGET,
Fife,1,FIFE-1,CCGT,70.5,2000,-49.2,46.2,268,FIFE10,Z5,SPT,
Fife,2,,CCGT,52.5,2000,-43.4,21,170,FIFE1B,Z5,SPT,
Finlarig,1,FINL-1,Hydro,17,,-6.2,9.2,108,FINL1Q,Z4,SHETL,
Flotta,,,Gas,10,,,,,THSO8E,Z1,SHETL,
Foyers,1,FOYE-1,"Pumped Storage",150,,-103.6,20.3,600,FOYE20,Z1,SHETL,
Foyers,2,FOYE-2,"Pumped Storage",150,,-103.1,20.7,606,FOYE20,Z1,SHETL,
Glenmoriston,1,,Hydro,18.5,,-3.5,9.9,180,GLEN1Q,Z1,SHETL,
Glenmoriston,2,,Hydro,18.5,,0,6.9,75,GLEN80,Z1,SHETL,
"Glens of Foundland",1,,Wind,13,2005,-4.2,4.2,85,GLOF81,Z2,SHETL,
"Glens of Foundland",2,,Wind,13,2005,-4.2,4.2,85,GLOF82,Z2,SHETL,
"Gordonbush Wind",1,,Wind,88,2009,-28.9,28.9,257,STRB20,Z1,SHETL,
Grain,1,T_GRAI-1,Oil,650,1982,-237.1,242.4,1800.8,GRAI40,Z15,NGET,1355
Grain,2,T_GRAI-2,Oil,0,1979,-237.1,242.4,1800.8,GRAI40,Z15,NGET,
Grain,3,T_GRAI-3,Oil,0,1982,0,0,,GRAI40,Z15,NGET,
Grain,4,T_GRAI-4,Oil,650,1984,0,0,,GRAI40,Z15,NGET,
Grain,,T_GRAI1G,OCGT,55,1979,,,,GRAI40,Z15,NGET,
Grain,,T_GRAI2G,OCGT,0,1978,,,,GRAI40,Z15,NGET,
Grain,,T_GRAI3G,OCGT,0,1979,,,,GRAI40,Z15,NGET,
Grain,,T_GRAI4G,OCGT,0,1980,,,,GRAI40,Z15,NGET,
Grain,,T_GRAI5G,OCGT,0,1982,,,,GRAI40,Z15,NGET,
"Grangemouth CHP",1,BPGRD-1,CHP,120,,-84.1,51.2,492,BPGR34,Z6,SPT,
"Grangemouth CHP",1,,CHP,,,0,0,422,BPGR34,Z6,SPT,
"Grangemouth CHP",2,,CHP,,,0,12.9,263,BPGR34,Z6,SPT,
"Grangemouth CHP",2,,CHP,,,0,0,74,BPGR34,Z6,SPT,
"Grangemouth CHP",3,,CHP,,,0,12.9,263,BPGR34,Z6,SPT,
"Grangemouth CHP",3,,CHP,,,0,0,190,BPGR34,Z6,SPT,
"Grangemouth CHP",4,,CHP,,,0,12.9,263,BPGR34,Z6,SPT,
"Grangemouth CHP",5,,CHP,,,0,12.9,263,BPGR34,Z6,SPT,
"Grangemouth CHP",6,,CHP,,,0,12.9,263,BPGR34,Z6,SPT,
"Grangemouth CHP",7,,CHP,,,4,4,261,BPGR34,Z6,SPT,
"Grangemouth CHP",8,,CHP,,,4,4,261,BPGR34,Z6,SPT,
"Great Yarmouth",1,,CCGT,420,2000,-208.6,184.1,1203.6,NORW10,Z12,NGET,
"Greater Gabbard",,,"Offshore Wind",500,2009,-164,164,,SIZE11/12,,NGET,
"Grudie Bridge",1,,Hydro,11,,0,3.2,67,GRUB81,Z1,SHETL,
"Grudie Bridge",2,,Hydro,11,,0,0,78,GRUB81,Z1,SHETL,
"Hadyard Hill",1,,Wind,117,2005,-7,-7,635.5,HADH30,Z6,SPT,
Hartlepool,1,T_HRTL-1,"Nuclear AGR",604,1989,-299,258.3,2043.4,HATL20,Z7,NGET,
Hartlepool,2,T_HRTL-2,"Nuclear AGR",604,1989,-296.8,244.8,2043.4,HATL20,Z7,NGET,
"Heysham 1",1,T_HEYM11,"Nuclear AGR",607,1989,-289.2,286.3,2224,HEYS40,Z9,NGET,
"Heysham 1",2,T_HEYM12,"Nuclear AGR",596,1989,-288.7,292.6,2196.2,HEYS40,Z9,NGET,
"Heysham 2",7,T_HEYM27,"Nuclear AGR",601,1989,-266.2,269.2,2404.1,HEYS40,Z9,NGET,
"Heysham 2",8,T_HEYM28,"Nuclear AGR",603,1989,-264.6,265.7,2417.9,HEYS40,Z9,NGET,
"Hinkley Point B",7,T_HINB-7,"Nuclear AGR",644,1978,-248.6,202.8,2023,HINP40,Z17,NGET,
"Hinkley Point B",8,T_HINB-8,"Nuclear AGR",617,1976,-290.8,193.5,2078.5,HINP40,Z17,NGET,
"Houstary Wind Dunbeath",1,,Wind,14,2004,0,0,49,DUBE3D,Z1,SHETL,
Hunterston,7,HUNB-7,"Nuclear AGR",545,,-145.9,273.8,1976,HUER40,Z6,SPT,
Hunterston,8,HUNB-8,"Nuclear AGR",545,,-145.4,104.2,1983,HUER40,Z6,SPT,
"Immingham CHP stage 1",,,CCGT,244,2004,-122.4,118.5,844,HUMR40,Z8,NGET,1300
"Immingham CHP stage 1",,,CCGT,262,2004,-122.4,118.5,844,HUMR40,Z8,NGET,
"Immingham CHP stage 1",,,CCGT,117,2004,-53.5,54.6,439,HUMR40,Z8,NGET,
"Immingham CHP stage 1",,,CCGT,117,2004,-53.5,54.6,439,HUMR40,Z8,NGET,
"Immingham CHP stage 2",,,CCGT,227,2008,-114,148.1,828.9,HUMR40,Z8,NGET,
"Immingham CHP stage 2",,,CCGT,227,2008,-114,148.1,828.9,HUMR40,Z8,NGET,
"Immingham CHP stage 2",,,CCGT,106,2008,-52.5,55.6,439,HUMR40,Z8,NGET,
"Indian Queens",1,T_INDQ-1,OCGT,140,1996,-54.9,115.9,656.3,INDQ40,Z17,NGET,
"Insch Wind",1,,Wind,10,2005,-1.5,1.5,63,KEIT80,Z2,SHETL,
Inverawe,1,,Hydro,25,,-2,-2,72,INAW3Q,Z3,SHETL,
Invergarry,1,CAS-GAR01,Hydro,20,,-1.6,-1.6,65,INGA1Q,Z1,SHETL,
Ironbridge,1,T_IRNPS-1,"Large Coal",482,1970,-165.2,208.5,1539.1,IRON40,Z11,NGET,
Ironbridge,2,T_IRNPS-2,"Large Coal",482,1970,-159.5,206.3,1522.7,IRON40,Z11,NGET,
Ironbridge,,,OCGT,,1967,,,,IRON40,Z11,NGET,
Ironbridge,,,OCGT,,1967,,,,IRON40,Z11,NGET,
Keadby,,T_KEAD-1,CCGT,245,1994,-109.5,96.5,772.1,KEAD41,Z8,NGET,
Keadby,,T_KEAD-1,CCGT,245,1994,-106.2,110.9,805.6,KEAD42,Z8,NGET,
Keadby,,T_KEAD-1,CCGT,245,1994,-113.7,103.3,781.6,KEAD42,Z8,NGET,
Keadby,,T_KEADGT3,CCGT,,,,,,N/A,Z8,NGET,
Keadby,,T_KEADGT3,CCGT,,,,,,N/A,Z8,NGET,
Keadby,,T_KEADGT3,CCGT,,,,,,N/A,Z8,NGET,
"Kilbraur Wind Farm Stage 1",1,,Wind,47.5,2007,-12.2,17.9,441,STRB8W,Z1,SHETL,
"Kilbraur Wind Farm Stage 2",1,,Wind,19.5,2009,-12.2,17.9,441,STRB8W,Z1,SHETL,665
"Killingholme 1",,T_KILLPG-1,CCGT,0,1992,-69.7,66.9,584.6,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-1,CCGT,0,1992,-68.1,68.7,593.8,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-1,CCGT,0,1992,-73.6,79.6,658.2,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-2,CCGT,0,1992,-69.5,67,587,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-2,CCGT,0,1992,-69.5,67,573.5,KILL40,Z8,NGET,
"Killingholme 1",,T_KILLPG-2,CCGT,0,1992,-73.6,79.6,658.2,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,144.6,1993,-69,57.3,638.2,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,144.6,1993,-69,57.3,637.6,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,144.6,1993,-69,57.3,628.6,KILL40,Z8,NGET,
"Killingholme 2",,T_KILNS-1,CCGT,231.2,1993,-106.7,104.7,773.1,KILL40,Z8,NGET,
Kilmorack,1,,Hydro,10,,-1.8,-1.8,93,KIOR1Q,Z1,SHETL,
Kilmorack,2,,Hydro,10,,0,0,39,KIOR80,Z1,SHETL,
"Kings Lynn",,,CCGT,340,1996,-172.8,128.9,1109.5,KINL1A,Z12,NGET,
"Kings Lynn",,,CCGT,,,,,,KLYP11,Z12,NGET,
"Kings Lynn",,,CCGT,,,,,,KLYP11,Z12,NGET,
Kingsnorth,1,T_KINO-1,"Dual Fuel",485,1970,-131.9,196,1845.4,KINO40,Z15,NGET,1966
Kingsnorth,2,T_KINO-2,"Dual Fuel",485,1971,-131.8,196.2,1848.1,KINO40,Z15,NGET,
Kingsnorth,3,T_KINO-3,"Dual Fuel",485,1972,-128.4,200.7,1897.1,KINO40,Z15,NGET,
Kingsnorth,4,T_KINO-4,"Dual Fuel",485,1973,-132.5,195.3,1837.9,KINO40,Z15,NGET,
Kingsnorth,,T_KINO1G,OCGT,13,1967,,,,KINO40,Z15,NGET,
Kingsnorth,,T_KINO4G,OCGT,13,1967,,,,KINO40,Z15,NGET,
Kinlochleven,1,,Hydro,10,2001,-3.5,3.4,35,KILO3Q,Z1,SHETL,
Kinlochleven,2,,Hydro,10,2001,-3.5,3.4,35,KILO3Q,Z1,SHETL,
Kinlochleven,3,,Hydro,10,2001,-3.5,3.4,35,KILO3Q,Z1,SHETL,
"Lairg - Achany WF",1,,Wind,62,2009,-24.6,32.7,299.5,LAIR3W,Z1,SHETL,
"Langage stage 1",,,CCGT,452.5,2008,-196.7,178.5,1259,LANG40,Z17,NGET,905
"Langage stage 1",,,CCGT,452.5,2008,-196.7,178.5,1259,LANG40,Z17,NGET,
"Little Barford",,T_LBAR-1,CCGT,210,1994,-109.5,90.1,713.1,LITB40,Z12,NGET,
"Little Barford",,T_LBAR-1,CCGT,210,1994,-109.2,90.3,715.3,LITB40,Z12,NGET,
"Little Barford",,T_LBAR-1,CCGT,245,1994,-117.4,115.7,794.2,LITB40,Z12,NGET,
"Littlebrook D",1,T_LITTD1,Oil,685,1982,-261.2,264,1797,LITT40,Z14,NGET,1475
